courseId,name,class,lecturer,room,day,startSlot,endSlot,startTime,endTime,durationSlots,roomType,capacityNeed
IF12333,Pemrograman II,IF-3B,Mohammad Arif Rasyidi  S.Kom.  M.Sc.,C101,Mon,0,6,07:30,12:30,6,theory,30
IF11613,Statistika Komputasi,IF-3B,Ngatini,G3.R1,Wed,0,6,07:30,12:30,6,theory,30
IF15203,Sistem Operasi,IF-3B,Taufiqotul Bariyah S.Kom.  M.IM,G3.R4,Fri,8,14,14:10,19:10,6,theory,30
IF12444,Algoritma dan Struktur Data,IF-3B,Yohanes Indra Riskajaya  S.Kom.  M.Kom,G3.R6,Thu,6,14,12:30,19:10,8,theory,30
IF14333,Desain Perangkat Lunak,IF-5B,Taufiqotul Bariyah S.Kom.  M.IM,G3.R2,Tue,0,6,07:30,12:30,6,theory,30
IF14433,Manajemen Basis Data,IF-5B,Lailatul Hidayah  S.Kom.  MS.,Coal Mill 204,Thu,2,8,09:10,14:10,6,theory,30
IF17143,Grafika Komputer dan Pengolahan Citra,IF-5B,Doni Setio Pambudi  S.Kom. M.Kom,G3.R4,Tue,2,8,09:10,14:10,6,theory,30
IF15323,Keamanan Informasi dan Jaringan,IF-5B,Yohanes Indra Riskajaya  S.Kom.  M.Kom,Coal Mill 202,Fri,0,6,07:30,12:30,6,theory,30
IF14513,Manajemen Proyek Perangkat Lunak,IF-5B,Ruktin Handayani  S.Kom.  M.Kom.,Auditorium,Mon,8,14,14:10,19:10,6,theory,30
IF13243,Machine Learning,IF-5B,Mohammad Arif Rasyidi  S.Kom.  M.Sc.,Coal Mill 207,Thu,8,14,14:10,19:10,6,theory,30
IF16243,Sistem Terdistribusi,IF-7A,Taufiqotul Bariyah S.Kom.  M.IM,Auditorium,Tue,8,14,14:10,19:10,6,theory,30
IF18103,Sistem Enterprise,IF-7A,Yogantara Setya Dharmawan  S.Kom.  M.Sc,Coal Mill 206,Fri,8,14,14:10,19:10,6,theory,30
IF16553,Desain dan Manajemen Jaringan,IF-6A,Taufiqotul Bariyah S.Kom.  M.IM,G4.R4,Wed,2,8,09:10,14:10,6,theory,30
IF13653,Komputasi Biomedik,IF-7A,Lailatul Hidayah  S.Kom.  MS.,Auditorium,Thu,8,14,14:10,19:10,6,theory,30
IF17453,Visi Komputer,IF-7A,Doni Setio Pambudi  S.Kom. M.Kom,Coal Mill 202,Mon,0,6,07:30,12:30,6,theory,30
IF12753,Pemrograman Mobile,IF-7A,Doni Setio Pambudi  S.Kom. M.Kom,Coal Mill 301,Mon,7,13,13:20,18:20,6,theory,30
IF12103,Logika Pemrograman,IF-1B,Mohammad Arif Rasyidi  S.Kom.  M.Sc.,Coal Mill 201,Tue,0,6,07:30,12:30,6,theory,30
IF11103,Matematika Diskrit,IF-1B,Ngatini,G3.R3,Fri,2,8,09:10,14:10,6,theory,30
IF11203,Kalkulus I,IF-1B,Puji Andayani  S.Si.  M.Si.  M.Sc.,Coal Mill 205,Mon,6,12,12:30,17:30,6,theory,30
IF15103,Sistem Digital,IF-1B,Doni Setio Pambudi  S.Kom. M.Kom,Limestone,Wed,0,6,07:30,12:30,6,theory,30
